table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,
"Table 1. Annual Estimates of the Resident Population for the United States, Regions, States, and Puerto Rico: April 1, 2010 to July 1, 2017",,,,,,,,,,
Geographic Area,"April 1, 2010",,Population Estimate (as of July 1),,,,,,,
,Census,Estimates Base,2010,2011,2012,2013,2014,2015,2016,2017
United States,"308,745,538","308,758,105","309,338,421","311,644,280","313,993,272","316,234,505","318,622,525","321,039,839","323,405,935","325,719,178"
Northeast,"55,317,240","55,318,350","55,388,349","55,642,659","55,860,261","56,047,732","56,203,078","56,296,628","56,359,360","56,470,581"
Midwest,"66,927,001","66,929,794","66,973,360","67,141,501","67,318,295","67,534,451","67,720,120","67,839,187","67,978,168","68,179,351"
South,"114,555,744","114,563,024","114,869,241","116,060,993","117,291,728","118,422,269","119,699,966","121,081,238","122,423,457","123,658,624"
West,"71,945,553","71,946,937","72,107,471","72,799,127","73,522,988","74,230,053","74,999,361","75,822,786","76,644,950","77,410,622"
.Alabama,"4,779,736","4,780,135","4,785,579","4,798,649","4,813,946","4,827,660","4,840,037","4,850,858","4,860,545","4,874,747"
.Alaska,"710,231","710,249","714,015","722,259","730,825","736,760","736,759","737,979","741,522","739,795"
.Arizona,"6,392,017","6,392,309","6,407,002","6,465,488","6,544,211","6,616,124","6,706,435","6,802,262","6,908,642","7,016,270"
.Arkansas,"2,915,918","2,916,031","2,921,737","2,938,640","2,949,208","2,956,780","2,964,800","2,975,626","2,988,231","3,004,279"
.California,"37,253,956","37,254,518","37,327,690","37,672,654","38,019,006","38,347,383","38,701,278","39,032,444","39,296,476","39,536,653"
.Colorado,"5,029,196","5,029,325","5,048,029","5,116,411","5,186,330","5,262,556","5,342,311","5,440,445","5,530,105","5,607,154"
.Connecticut,"3,574,097","3,574,114","3,580,171","3,591,927","3,597,705","3,602,470","3,600,188","3,593,862","3,587,685","3,588,184"
.Delaware,"897,934","897,936","899,712","907,884","916,868","925,114","934,805","944,107","952,698","961,939"
.District of Columbia,"601,723","601,766","605,040","620,336","635,630","650,114","660,797","672,736","684,336","693,972"
.Florida,"18,801,310","18,804,594","18,846,461","19,097,369","19,341,327","19,584,927","19,897,747","20,268,567","20,656,589","20,984,400"
.Georgia,"9,687,653","9,688,690","9,712,696","9,810,595","9,911,171","9,981,773","10,083,850","10,199,533","10,313,620","10,429,379"
.Hawaii,"1,360,301","1,360,301","1,363,817","1,378,323","1,392,772","1,408,038","1,417,710","1,426,320","1,428,683","1,427,538"
.Idaho,"1,567,582","1,567,650","1,570,912","1,583,180","1,594,673","1,610,187","1,630,391","1,649,324","1,680,026","1,716,943"
.Illinois,"12,830,632","12,831,565","12,841,196","12,862,298","12,878,494","12,890,403","12,882,438","12,862,051","12,835,726","12,802,023"
.Indiana,"6,483,802","6,484,125","6,490,029","6,515,358","6,535,665","6,567,484","6,593,182","6,610,596","6,634,007","6,666,818"
