GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; In households:,Margin of Error; In households:,Estimate; In households: - Under 3 years,Margin of Error; In households: - Under 3 years,Estimate; In households: - 3 and 4 years,Margin of Error; In households: - 3 and 4 years,Estimate; In households: - 5 years,Margin of Error; In households: - 5 years,Estimate; In households: - 6 to 8 years,Margin of Error; In households: - 6 to 8 years,Estimate; In households: - 9 to 11 years,Margin of Error; In households: - 9 to 11 years,Estimate; In households: - 12 to 14 years,Margin of Error; In households: - 12 to 14 years,Estimate; In households: - 15 to 17 years,Margin of Error; In households: - 15 to 17 years,Estimate; In group quarters,Margin of Error; In group quarters
0400000US01,01,Alabama,1099517,3370,1097221,3446,172212,4738,114431,4446,62452,4280,184044,6174,188171,6271,179341,5624,196570,3223,2296,505
0400000US02,02,Alaska,187296,588,186806,595,32058,1696,20410,1629,10200,1374,31380,2199,33103,2308,29832,2132,29823,1192,490,47
0400000US04,04,Arizona,1631422,1266,1628590,1277,250883,6327,185293,6534,83759,4811,275660,7460,281451,7053,274104,7457,277440,1217,2832,323
0400000US05,05,Arkansas,707360,2248,704647,2280,114733,3388,73914,3501,36780,3721,123079,5561,119527,5327,118475,6041,118139,2743,2713,436
0400000US06,06,California,9093249,2512,9073284,2819,1455543,14237,1025255,13869,499866,11433,1493491,18623,1564622,16366,1509597,17765,1524910,2909,19965,1617
0400000US08,08,Colorado,1260512,1426,1257916,1503,200661,5125,134410,5135,66220,4543,221586,6363,214334,6246,211985,6897,208720,1435,2596,345
0400000US09,09,Connecticut,752162,582,750763,693,107401,3357,77628,3436,37776,3012,121104,5178,131018,4442,134889,4861,140947,1037,1399,392
0400000US10,10,Delaware,204237,234,203603,298,32846,2013,22395,1823,9767,1605,35251,2277,33076,2492,35699,2461,34569,863,634,182
0400000US11,11,District of Columbia,120782,182,120168,612,26466,1876,17080,1837,7798,1550,21219,1997,16220,1755,15968,2015,15417,394,614,559
0400000US12,12,Florida,4145140,3958,4133530,4293,667966,9365,448761,9118,222250,9106,667524,14874,711691,13393,696407,16627,718931,3977,11610,1030
0400000US13,13,Georgia,2510610,3089,2505372,3168,387780,8143,267077,7665,124500,5847,428581,11203,434413,10194,435425,10532,427596,4103,5238,576
0400000US15,15,Hawaii,307765,757,306859,839,53112,2518,37047,2413,18453,2170,50308,2611,50615,3057,50238,2706,47086,1078,906,569
0400000US16,16,Idaho,436457,1370,435239,1362,66507,2710,47633,2762,22346,2733,76248,3398,76297,3249,73009,3893,73199,1540,1218,240
0400000US17,17,Illinois,2922719,2483,2918089,2744,458341,7233,310970,6596,152676,5930,481080,9176,503845,8811,499772,9213,511405,2699,4630,1268
0400000US18,18,Indiana,1577533,3248,1571675,3373,244726,5221,175179,5051,84166,4898,271726,6332,265738,6434,258218,6935,271922,2247,5858,724
0400000US19,19,Iowa,726967,1893,724575,1944,117459,3353,79936,3426,39979,2980,121252,4301,127241,4701,118552,4634,120156,1546,2392,269
0400000US20,20,Kansas,714919,2390,712627,2422,117913,3221,79388,3324,38245,2953,121229,4461,120800,4508,118791,4968,116261,1745,2292,370
0400000US21,21,Kentucky,1012457,3126,1009088,3138,161357,4122,111592,3985,48576,3779,173044,4799,176048,5734,165123,5856,173348,2113,3369,503
0400000US22,22,Louisiana,1117281,2324,1115188,2300,189121,6358,117842,5914,58945,4672,178962,6320,195296,6367,188671,6730,186351,2807,2093,306
0400000US23,23,Maine,254951,952,254167,1078,35605,2030,28336,1820,15046,1972,45685,2652,40147,2608,42878,2414,46470,1223,784,407
0400000US24,24,Maryland,1346152,1207,1343370,1265,213628,4827,149267,4966,71005,4353,227731,6239,229947,6261,222177,6352,229615,1481,2782,450
0400000US25,25,Massachusetts,1378947,1077,1372524,1602,207087,4840,152288,4816,72404,4418,213671,6066,236033,6072,244063,7402,246978,1672,6423,1166
0400000US26,26,Michigan,2191183,2017,2185062,2225,338449,5401,233153,5579,115355,5106,355909,6958,372349,7784,373340,7733,396507,2183,6121,849
0400000US27,27,Minnesota,1288623,2282,1283276,2487,205301,4234,145291,4038,68947,3949,222695,5614,214168,4497,213486,5584,213388,1529,5347,1122
0400000US28,28,Mississippi,723153,2331,720552,2434,115488,4999,71254,4274,36829,3490,126364,4981,128443,5280,121075,5561,121099,2244,2601,335
0400000US29,29,Missouri,1390064,3084,1384804,3228,219409,4026,152123,4629,71567,4549,233156,7357,235601,5481,236526,7114,236422,2300,5260,716
0400000US30,30,Montana,228674,1696,227405,1697,33445,1828,27698,1661,13117,1433,36650,2490,40068,2028,38593,2006,37834,1228,1269,279
0400000US31,31,Nebraska,474085,1247,472493,1256,79553,2603,52604,2688,26100,1638,81684,3703,80179,2971,77347,2526,75026,1018,1592,200
0400000US32,32,Nevada,677502,815,675977,836,105462,3496,77899,3474,34621,2997,113247,4829,117312,5122,114898,4829,112538,1169,1525,300
